biosample_id original_sample_name
28668 ST1_1038_1_BM
28669 ST1_1033_1_BM
28670 ST1_1082_1_BM
28671 ST1_1129_1_BM
28672 ST1_1137_2_BM
28673 ST1_1137_4_BM
28674 ST1_1178_1_BM
28675 ST1_1193_5_BM
28676 ST1_1285_1_BM
28677 ST1_1285_3_BM
28678 ST1_1359_1_BM
28679 ST1_1395_1_BM
28680 ST1_1401_1_BM
28681 ST1_1401_2_BM
28682 ST1_1598_1_BM
28683 ST1_1670_1_BM
28684 ST1_1670_3_BM
28685 ST1_1695_1_BM
28686 ST1_1838_1_BM
28687 ST1_1838_2_BM
28688 ST1_1838_3_BM
28689 ST1_1866_1_BM
28690 ST1_1997_1_BM
28691 ST1_2214_1_BM
28692 ST1_2230_1_BM
28693 ST1_2258_1_BM
28694 ST1_2442_1_BM
28695 ST1_2456_1_BM
28696 ST1_2471_1_BM
28697 ST1_2475_1_BM
28698 ST1_2546_1_BM
28699 ST1_2579_1_BM
28700 ST1_1021_1_BM
28701 ST1_1030_1_BM
28702 ST1_1030_3_BM
28703 ST1_1032_1_BM
28704 ST1_1079_1_BM
28705 ST1_1079_2_BM
28706 ST1_1079_4_BM
28707 ST1_1098_1_BM
28708 ST1_1205_2_BM
28709 ST1_1257_1_BM
28710 ST1_1274_1_BM
28711 ST1_1286_1_BM
28712 ST1_1325_1_BM
28713 ST1_1408_1_BM
28714 ST1_1413_1_BM
28715 ST1_1423_1_BM
28716 ST1_1426_1_BM
28717 ST1_1433_1_BM
28718 ST1_1433_2_BM
28719 ST1_1433_4_BM
28720 ST1_1433_5_BM
28721 ST1_1434_1_BM
28722 ST1_1461_1_BM
28723 ST1_1466_1_BM
28724 ST1_1466_3_BM
28725 ST1_1485_1_BM
28726 ST1_1497_1_BM
28727 ST1_1489_1_BM
28728 ST1_1491_1_BM
28729 ST1_1500_1_BM
28730 ST1_1500_2_BM
28731 ST1_1523_1_BM
28732 ST1_1537_1_BM
28733 ST1_1565_1_BM
28734 ST1_1565_3_BM
28735 ST1_1573_1_BM
28736 ST1_1583_1_BM
28737 ST1_1625_1_BM
28738 ST1_1640_1_BM
28739 ST1_1683_1_BM
28740 ST1_1714_1_BM
28741 ST1_1731_1_BM
28742 ST1_1731_2_BM
28743 ST1_1730_1_BM
28744 ST1_1730_2_BM
28745 ST1_1759_1_BM
28746 ST1_1758_1_BM
28747 ST1_1781_1_BM
28748 ST1_1787_1_BM
28749 ST1_1802_1_BM
28750 ST1_1801_1_BM
28751 ST1_1807_1_BM
28752 ST1_1819_1_BM
28753 ST1_1850_1_BM
28754 ST1_1860_1_BM
28755 ST1_1865_1_BM
28756 ST1_1895_1_BM
28757 ST1_1967_1_BM
28758 ST1_1965_1_BM
28759 ST1_1981_1_BM
28760 ST1_1988_1_BM
28761 ST1_2059_1_BM
28762 ST1_2059_2_BM
28763 ST1_2061_1_BM
28764 ST1_2076_1_BM
28765 ST1_2076_2_BM
28766 ST1_2129_1_BM
28767 ST1_1755_1_BM
28768 ST1_2152_1_BM
28769 ST1_2172_1_BM
28770 ST1_2231_1_BM
28771 ST1_2267_1_BM
28772 ST1_2291_1_BM
28773 ST1_2310_1_BM
28774 ST1_2316_1_BM
28775 ST1_2330_1_BM
28776 ST1_2330_2_BM
